feature_set,best_val_balanced_accuracy,best_val_f1_macro,best_params
raw_plus_proxy,0.9970631424375918,0.9970516998331568,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}"
proxy_only,0.9970598937013501,0.9970566234973747,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}"
raw_only,0.8448969058798683,0.8450581603231949,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}"
