split,accuracy,balanced_accuracy,precision,recall,f1
validation,0.9974554707379135,0.9970631424375918,0.9970823794958609,0.9970631424375918,0.9970516998331568
train_val,1.0,1.0,1.0,1.0,1.0
test,0.9968213604577241,0.9963289280469897,0.9963177913305791,0.9963289280469897,0.9962923560952003
