label,precision,recall,f1-score,support
0000,1.0,1.0,1.0,473.0
0110,1.0,1.0,1.0,201.0
0111,0.9909502262443439,1.0,0.9954545454545455,219.0
1001,1.0,1.0,1.0,226.0
1011,0.9869565217391304,1.0,0.9934354485776805,227.0
1111,1.0,0.9779735682819384,0.9888641425389755,227.0
accuracy,0.9968213604577241,0.9968213604577241,0.9968213604577241,0.9968213604577241
macro avg,0.9963177913305791,0.9963289280469897,0.9962923560952003,1573.0
weighted avg,0.9968577431546688,0.9968213604577241,0.9968128115944224,1573.0
