label,pred_0000,pred_0110,pred_0111,pred_1001,pred_1011,pred_1111
true_0000,1.0,0.0,0.0,0.0,0.0,0.0
true_0110,0.0,1.0,0.0,0.0,0.0,0.0
true_0111,0.0,0.0,1.0,0.0,0.0,0.0
true_1001,0.0,0.0,0.0,1.0,0.0,0.0
true_1011,0.0,0.0,0.0,0.0,1.0,0.0
true_1111,0.0,0.0,0.00881057268722467,0.0,0.013215859030837005,0.9779735682819384
