n_estimators,max_depth,max_features,min_samples_leaf,val_accuracy,val_balanced_accuracy,val_f1
300,,sqrt,1,0.9961832061068703,0.995561395566896,0.9955731319064073
500,,sqrt,1,0.9961832061068703,0.995561395566896,0.9955731319064073
500,20.0,sqrt,1,0.9961832061068703,0.995561395566896,0.9955731319064073
500,,0.5,1,0.9961832061068703,0.9954932431781548,0.9957308121706031
