model,feature_count,best_params,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
Random Forest,14,"{""n_estimators"": 300, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",0.9961832061068703,0.995561395566896,0.9955946281633287,0.995561395566896,0.9955731319064073,0.9949141767323586,0.9941262848751836,0.9941185079185809,0.9941262848751836,0.994083084538539
MLP,14,"{""hidden_layer_sizes"": [128, 64], ""alpha"": 0.0001, ""learning_rate_init"": 0.001}",0.8842239185750637,0.864069338861845,0.8640591425779328,0.864069338861845,0.8617356252694655,0.8741258741258742,0.8499587633013498,0.8684459192922901,0.8499587633013498,0.8295300037321142
