index,pred_0000,pred_0110,pred_0111,pred_1001,pred_1011,pred_1111
true_0000,473,0,0,0,0,0
true_0110,0,201,0,0,0,0
true_0111,0,2,45,0,0,172
true_1001,0,0,0,226,0,0
true_1011,0,0,1,3,223,0
true_1111,0,1,19,0,0,207
