hidden_layer_sizes,alpha,learning_rate_init,epochs_ran,loss_final,val_accuracy,val_balanced_accuracy,val_f1
"(128, 64)",0.0001,0.001,185,0.1977603690309927,0.8842239185750637,0.864069338861845,0.8617356252694655
"(256, 128)",0.0001,0.001,112,0.20124209549932132,0.851145038167939,0.8237593397336568,0.8213470727698308
"(128, 64)",0.0005,0.0005,332,0.19083925767349072,0.8638676844783715,0.8417702209812578,0.8070349280170377
"(256, 128)",0.0005,0.0005,237,0.19287425371900493,0.8600508905852418,0.8366302721149536,0.8203951484923437
