model,feature_set,feature_count,best_params,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
Random Forest,raw_plus_best_proxy,35,"{""n_estimators"": 500, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1}",0.9980916030534351,0.9977973568281938,0.9978165938864629,0.9977973568281938,0.997792451450988,0.9974570883661793,0.9970631424375918,0.9971139971139972,0.9970631424375918,0.9970629144428272
Random Forest,raw_only,6,"{""n_estimators"": 500, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",0.8664122137404581,0.842637372737804,0.8429921922307186,0.842637372737804,0.8427957711923652,0.8804831532104259,0.8593929153340173,0.8586065936920804,0.8593929153340173,0.8589510300841802
MLP,raw_plus_best_proxy,35,"{""hidden_layer_sizes"": [256, 128], ""alpha"": 0.0001, ""learning_rate_init"": 0.001}",0.8600508905852418,0.8371216713136946,0.8443112584583489,0.8371216713136946,0.8137560366761786,0.8690400508582327,0.8434884971298676,0.8897002371919195,0.8434884971298676,0.8093216954162689
MLP,raw_only,6,"{""hidden_layer_sizes"": [128, 64], ""alpha"": 0.0001, ""learning_rate_init"": 0.001}",0.8568702290076335,0.831359199444932,0.8308339836273831,0.831359199444932,0.8308409019795561,0.8639542275905913,0.8424344793843027,0.8660199860075197,0.8424344793843027,0.8111287428601605
