hidden_layer_sizes,alpha,learning_rate_init,epochs_ran,loss_final,val_accuracy,val_balanced_accuracy,val_f1
"(128, 64)",0.0001,0.001,154,0.20606068743898004,0.8568702290076335,0.831359199444932,0.8308409019795561
"(256, 128)",0.0001,0.001,106,0.20427638523045252,0.8568702290076335,0.8298741709566303,0.8108234445196713
"(128, 64)",0.0005,0.0005,190,0.20715488247692865,0.8492366412213741,0.822765683875,0.8212445048242781
"(256, 128)",0.0005,0.0005,208,0.19834179162030674,0.8581424936386769,0.8310629859048758,0.804488854747338
