n_estimators,max_depth,max_features,min_samples_leaf,val_accuracy,val_balanced_accuracy,val_f1
300,,sqrt,1,0.9980916030534351,0.9977705362111856,0.9977790166428518
500,,sqrt,1,0.9974554707379135,0.9970363218205834,0.9970431456112855
500,20.0,sqrt,1,0.9974554707379135,0.9970363218205834,0.9970431456112855
500,,0.5,1,0.9980916030534351,0.9977973568281938,0.997792451450988
