n_estimators,max_depth,max_features,min_samples_leaf,val_accuracy,val_balanced_accuracy,val_f1
300,,sqrt,1,0.8651399491094147,0.8411153027225833,0.8412602692503849
500,,sqrt,1,0.8664122137404581,0.842637372737804,0.8427957711923652
500,20.0,sqrt,1,0.8664122137404581,0.842637372737804,0.8427957711923652
500,,0.5,1,0.8651399491094147,0.8410917308418165,0.8412158286562832
