index,pred_0000,pred_0110,pred_0111,pred_1001,pred_1011,pred_1111
true_0000,473,0,0,0,0,0
true_0110,1,200,0,0,0,0
true_0111,0,1,206,0,0,12
true_1001,0,0,0,226,0,0
true_1011,0,0,0,5,222,0
true_1111,0,1,190,0,4,32
