hidden_layer_sizes,alpha,learning_rate_init,epochs_ran,loss_final,val_accuracy,val_balanced_accuracy,val_f1
"(128, 64)",0.0001,0.001,134,0.18627255864227232,0.8479643765903307,0.8210420438686795,0.8212124134534845
"(256, 128)",0.0001,0.001,130,0.1824811006183187,0.8600508905852418,0.8371216713136946,0.8137560366761786
"(128, 64)",0.0005,0.0005,211,0.1846572855727741,0.8479643765903307,0.8219540190190217,0.8172312519425585
"(256, 128)",0.0005,0.0005,122,0.1873552559924481,0.8460559796437659,0.8183476399370143,0.8170154587027669
